whydud-celery-scraping  | [2026-03-07 05:53:10,918: INFO/MainProcess] missed heartbeat from primary@8d9b628736e8
whydud-celery-scraping  | [2026-03-07 05:56:03,090: INFO/MainProcess] Task apps.pricing.tasks.run_phase3_extend[49becbd8-3545-43ae-8e06-96d52e44d078] received
whydud-celery-scraping  | [2026-03-07 05:56:03,906: INFO/ForkPoolWorker-4] Phase 3: PH deep extend for 206 products
whydud-celery-scraping  | [2026-03-07 05:56:05,478: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/Ljd3ArIm "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:08,546: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/4LN1Ndmb "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:10,260: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/ztLMehce "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:11,958: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/jUqO1vyp "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:13,655: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/vK9wT6G5 "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:15,358: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/SfJi8oSj "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:17,059: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/bNAO1vyp "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:18,754: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/K8Ti8oSj "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:20,447: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/b2HO1vyp "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:22,135: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/j6xLr3Q2 "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:23,827: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/ZZp2Ndmb "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:25,528: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/qTdyGk2h "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:27,216: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/ZbfyGk2h "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:28,918: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/q534ArIm "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:30,645: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/VpmNehce "HTTP/1.1 403 Forbidden"
whydud-celery-scraping  | [2026-03-07 05:56:32,340: INFO/ForkPoolWorker-4] HTTP Request: GET https://pricehistory.app/p/VgOLr3Q2 "HTTP/1.1 403 Forbidden"
